Time (Seconds),PlayerHealth,Accuracy (Percentage),Difficulty (Percentage),PlayerDeaths
0,100,100,50,0,
1,100,100,50,0,
2,100,100,50,0,
3,95,100,50,0,
4,75,66.66667,50,0,
5,75,76.92308,50,0,
6,95,76.92308,50,0,
7,100,66.66667,50,0,
8,100,69.23077,50,0,
9,100,70,50,0,
10,100,70,50,0,
11,100,69.44444,50,0,
12,100,71.42857,50,0,
13,100,71.42857,50,0,
14,100,71.42857,50,0,
15,100,71.42857,50,0,
16,85,71.42857,50,0,
17,85,73.46939,50,0,
18,85,73.58491,50,0,
19,55,74.19355,50,0,
20,55,73.84615,50,0,
21,55,73.84615,50,0,
22,35,76.05634,50,0,
23,35,77.92207,50,0,
24,35,77.92207,50,0,
25,35,77.92207,50,0,
26,35,77.92207,50,0,
27,0,79.51807,50,1,
28,100,79.51807,50,1,
29,100,79.51807,50,1,
30,65,79.51807,50,1,
31,60,80.45977,50,1,
32,60,80.85107,50,1,
33,60,81.63265,50,1,
34,60,80.95238,50,1,
35,60,80.95238,50,1,
36,80,80.95238,50,1,
37,100,80.95238,50,1,
38,100,80.95238,50,1,
39,100,80.95238,50,1,
40,100,80.95238,50,1,
41,100,81.13208,50,1,
42,100,81.73913,50,1,
43,100,81.73913,50,1,
44,100,81.73913,50,1,
45,100,81.73913,50,1,
46,100,81.73913,50,1,
47,100,81.73913,50,1,
48,100,81.73913,50,1,
49,100,81.74603,50,1,
50,90,81.74603,50,1,
51,90,82.57576,50,1,
52,90,83.33333,50,1,
53,90,83.33333,50,1,
54,90,83.67347,50,1,
55,90,83.22147,50,1,
56,90,83.22147,50,1,
57,90,83.22147,50,1,
58,100,83.22147,50,1,
59,75,83.87096,50,1,
60,65,83.6478,50,1,
61,65,83.6478,50,1,
62,65,83.6478,50,1,
63,65,83.6478,50,1,
64,65,83.6478,50,1,
65,65,82.71605,50,1,
66,65,82.24852,50,1,
67,65,81.60919,50,1,
68,65,80.89887,50,1,
69,65,80.89887,50,1,
70,65,80.89887,50,1,
71,65,80.89887,50,1,
72,65,80.89887,50,1,
73,65,80.89887,50,1,
74,65,80.89887,50,1,
75,65,80.89887,50,1,
76,65,80.89887,50,1,
77,65,80.89887,50,1,
78,65,80.89887,50,1,
79,65,80.89887,50,1,
80,65,80.89887,50,1,
81,65,80.89887,50,1,
82,65,80.89887,50,1,
83,55,79.8913,50,1,
84,55,79.47369,50,1,
85,70,80.10204,50,1,
86,45,80.10204,50,1,
87,45,81.25,50,1,
88,65,81.25,50,1,
89,85,81.25,50,1,
90,85,81.7757,50,1,
91,85,81.65137,50,1,
92,85,81.65137,50,1,
93,85,81.65137,50,1,
94,85,81.65137,50,1,
95,85,81.81818,50,1,
96,85,81.30434,50,1,
97,85,81.30434,50,1,
98,85,80.34188,50,1,
99,80,79.09836,50,1,
100,75,79.2683,50,1,
101,75,79.11646,50,1,
102,75,79.11646,50,1,
103,75,79.11646,50,1,
104,75,79.11646,50,1,
105,75,79.11646,50,1,
106,75,79.11646,50,1,
107,75,79.11646,50,1,
108,75,79.11646,50,1,
109,75,79.69348,50,1,
110,95,78.65169,50,1,
111,100,79.12088,50,1,
112,100,79.06137,50,1,
113,100,79.06137,50,1,
114,100,79.06137,50,1,
115,100,79.06137,50,1,
116,100,79.06137,50,1,
117,100,79.06137,50,1,
118,100,79.06137,50,1,
119,100,79.06137,50,1,
120,100,79.06137,50,1,
121,100,79.06137,50,1,
122,100,79.06137,50,1,
123,100,79.06137,50,1,
124,100,79.06137,50,1,
125,95,78.59649,50,1,
126,70,77.36486,50,1,
127,70,77.36486,50,1,
128,90,76.74419,50,1,
129,90,76.74419,50,1,
130,90,76.74419,50,1,
131,90,75.7377,50,1,
132,90,75.2443,50,1,
133,90,75.70978,50,1,
134,90,75.70978,50,1,
135,85,75.70978,50,1,
136,60,76.16099,50,1,
137,55,76.59575,50,1,
138,55,76.59575,50,1,
139,55,76.59575,50,1,
140,75,75.90361,50,1,
141,65,75.5102,50,1,
142,65,75.43353,50,1,
143,55,75.43353,50,1,
144,70,75.43353,50,1,
145,60,75,50,1,
146,60,74.92877,50,1,
147,50,74.38017,50,1,
148,50,74.38017,50,1,
149,60,74.38017,50,1,
150,60,74.38017,50,1,
151,60,74.38017,50,1,
152,60,73.71274,50,1,
153,60,73.71274,50,1,
154,60,73.71274,50,1,
155,60,73.71274,50,1,
156,60,74.13333,50,1,
157,60,74.0053,50,1,
158,60,74.0053,50,1,
159,60,74.0053,50,1,
160,60,74.0053,50,1,
