Time (Seconds),PlayerHealth,Accuracy (Percentage),Difficulty (Percentage),PlayerDeaths
0,100,100,100,0,
1,100,100,100,0,
2,90,100,100,0,
3,61,80,32,0,
4,40,63.63636,53.33334,0,
5,40,58.82353,49.41177,0,
6,60,60,51.57895,0,
7,60,65.38461,60.95238,0,
8,60,70,65,0,
9,60,67.74194,65,0,
10,60,67.74194,63.87097,0,
11,60,67.74194,63.87097,0,
12,60,67.74194,63.87097,0,
13,60,67.74194,63.87097,0,
14,60,73.17073,66.48649,0,
15,60,73.17073,66.58537,0,
16,100,73.17073,66.58537,0,
17,92,73.17073,86.58537,0,
18,84,73.17073,78.58537,0,
19,56,75.55556,78.58537,0,
20,26,74.07407,51.46154,0,
21,21,77.41935,50.93104,0,
22,21,75.38461,48.19231,0,
23,21,75.38461,48.19231,0,
24,21,75.38461,48.19231,0,
25,21,72.85714,46.92857,0,
26,17,73.23943,44.92857,0,
27,-3,72.36842,34.68421,1,
28,100,72.36842,86.18421,1,
29,100,72.36842,86.18421,1,
30,54,72.36842,70.1842,1,
31,47,74.39024,60.03846,1,
32,47,73.86364,60.43182,1,
33,67,69.89247,68.44624,1,
34,67,71.15385,68.64851,1,
35,67,70.47619,68.7381,1,
36,67,70.47619,68.7381,1,
37,61,72.17391,66.53603,1,
38,61,72.17391,66.58696,1,
39,61,72.17391,66.58696,1,
40,55,72.17391,66.58696,1,
41,49,72.17391,60.58695,1,
42,49,73.10925,60.70689,1,
43,49,73.80952,61.40477,1,
44,49,71.9697,60.48485,1,
45,13,73.18841,43.0942,1,
46,13,72.85714,42.92857,1,
47,9,72.85714,42.92857,1,
48,19,72.85714,50.92857,1,
49,5,73.68421,38.80137,1,
50,25,73.68421,49.34211,1,
51,25,73.68421,49.34211,1,
52,25,73.68421,49.34211,1,
53,25,73.68421,49.34211,1,
54,25,73.68421,49.34211,1,
55,25,74.69135,49.84568,1,
56,13,74.69135,43.84568,1,
57,13,74.69135,43.84568,1,
58,9,75,42,1,
59,9,75.14451,42.07225,1,
60,9,75.14451,42.07225,1,
61,9,75.14451,42.07225,1,
62,9,75.14451,42.07225,1,
63,9,75.14451,42.07225,1,
64,9,75.14451,42.07225,1,
65,9,75.14451,42.07225,1,
66,29,75.14451,52.07226,1,
67,29,75.14451,52.07226,1,
68,29,75.14451,52.07226,1,
69,29,75.14451,52.07226,1,
70,29,74.57627,51.78813,1,
71,29,73.74302,51.37151,1,
72,29,74.73119,51.72826,1,
73,29,74.60318,51.80159,1,
74,24,74.60318,49.30159,1,
75,16,74.60318,47.30159,1,
76,16,73.13432,44.56716,1,
77,16,72.46377,44.23188,1,
78,16,73.23943,44.61972,1,
79,36,73.23943,54.61972,1,
80,36,73.23943,54.61972,1,
81,36,73.23943,54.61972,1,
82,36,73.23943,54.61972,1,
83,31,73.36449,52.18224,1,
84,18,71.23894,48.68182,1,
85,14,71.98276,42.99138,1,
86,14,71.98276,42.99138,1,
87,-12,71.98276,29.99138,2,
88,100,71.98276,85.99138,2,
89,100,71.98276,85.99138,2,
90,100,71.98276,85.99138,2,
91,49,72.1519,60.57595,2,
92,49,71.95123,60.47561,2,
93,69,71.08434,70.04217,2,
94,69,71.81467,70.40733,2,
95,69,71.26437,70.13219,2,
96,69,70.99237,69.99619,2,
97,63,71.64179,67.32089,2,
98,63,71.69118,67.34559,2,
99,63,71.69118,67.34559,2,
100,83,71.69118,77.34559,2,
101,69,71.69118,77.34559,2,
102,69,71.69118,70.3456,2,
103,69,72.43816,70.75,2,
104,69,71.92982,70.46491,2,
105,69,71.92982,70.46491,2,
106,69,71.92982,70.46491,2,
107,69,72.50859,70.7543,2,
108,69,72.54237,70.77119,2,
109,69,72.54237,70.77119,2,
110,62,72.54237,70.77119,2,
111,32,73.0897,52.54485,2,
112,32,73.61563,52.80782,2,
113,32,73.61563,52.80782,2,
114,27,73.61563,50.30782,2,
115,27,73.61563,50.30782,2,
116,27,73.61563,50.30782,2,
117,27,73.61563,50.30782,2,
118,27,73.80192,50.40096,2,
119,27,73.66771,50.33386,2,
120,27,73.66771,50.33386,2,
121,27,73.66771,50.33386,2,
122,27,73.20872,50.33386,2,
123,14,73.19277,43.66667,2,
124,14,72.14076,43.07038,2,
125,14,72.14076,43.07038,2,
126,14,72.14076,43.07038,2,
127,34,72.14076,43.07038,2,
128,34,72.14076,53.07038,2,
129,34,72.14076,53.07038,2,
130,34,72.14076,53.07038,2,
131,34,72.14076,53.07038,2,
132,34,72.14076,53.07038,2,
133,34,72.14076,53.07038,2,
134,54,72.14076,63.07038,2,
135,54,72.14076,63.07038,2,
136,54,72.14076,63.07038,2,
137,54,72.14076,63.07038,2,
138,27,72.17391,52.04651,2,
139,27,71.875,49.4375,2,
140,27,72.14485,49.4944,2,
141,27,72.08672,49.54336,2,
142,27,72.08672,49.54336,2,
143,27,71.2,49.1,2,
144,19,71.01064,45.00532,2,
145,19,71.01064,45.00532,2,
146,39,71.01064,55.00532,2,
147,39,71.01064,55.00532,2,
148,39,71.01064,55.00532,2,
149,39,71.01064,55.00532,2,
150,39,71.01064,55.00532,2,
151,34,71.46597,52.73299,2,
152,34,71.90722,52.95361,2,
153,34,71.90722,52.95361,2,
154,34,71.90722,52.95361,2,
155,34,71.90722,52.95361,2,
156,34,71.90722,52.95361,2,
157,34,71.90722,52.95361,2,
158,34,71.90722,52.95361,2,
159,34,71.90722,52.95361,2,
160,34,71.90722,52.95361,2,
161,34,72.33502,53.16751,2,
162,34,72.36181,53.1809,2,
163,34,72.36181,53.1809,2,
164,34,72.36181,53.1809,2,
165,34,72.36181,53.1809,2,
166,34,72.36181,53.1809,2,
167,34,72.36181,53.1809,2,
168,34,72.36181,53.1809,2,
169,34,72.9064,53.41975,2,
170,54,72.79411,63.39706,2,
171,54,72.79411,63.39706,2,
172,54,72.79411,63.39706,2,
173,54,72.79411,63.39706,2,
174,54,72.79411,63.39706,2,
175,54,72.79411,63.39706,2,
176,54,72.79411,63.39706,2,
177,54,71.98068,62.99035,2,
178,48,72.03792,63.07143,2,
179,48,72,60,2,
180,48,72.15777,60.07888,2,
181,62,72.15777,67.07889,2,
182,62,72.54005,67.07889,2,
183,62,72.56236,67.28118,2,
184,100,72.56236,67.28118,2,
185,100,72.56236,86.28118,2,
186,100,72.56236,86.28118,2,
187,100,72.56236,86.28118,2,
188,100,72.56236,86.28118,2,
189,100,72.56236,86.28118,2,
190,100,72.56236,86.28118,2,
191,100,72.56236,86.28118,2,
192,84,72.0358,78.0179,2,
193,70,71.89542,71.10503,2,
194,70,71.70627,70.93073,2,
195,70,71.39785,70.69892,2,
196,70,71.39785,70.69892,2,
197,70,71.39785,70.69892,2,
198,70,71.39785,70.69892,2,
199,70,71.39785,70.69892,2,
200,70,71.39785,70.69892,2,
201,50,71.94093,60.97046,2,
202,50,71.78947,60.89474,2,
203,50,71.78947,60.89474,2,
204,50,71.78947,60.89474,2,
205,50,71.78947,60.89474,2,
206,50,71.78947,60.89474,2,
207,50,70.89397,60.44699,2,
208,44,69.87704,60.01027,2,
209,26,70.28113,48.14056,2,
210,26,70.28113,48.14056,2,
211,26,70.28113,48.14056,2,
212,26,70.28113,48.14056,2,
213,14,70.43651,42.21825,2,
214,14,70.39216,42.19608,2,
215,14,70.39216,42.19608,2,
216,29,70.39216,49.69608,2,
217,25,69.96124,47.48062,2,
218,25,69.96124,47.48062,2,
219,25,69.96124,47.48062,2,
220,25,69.96124,47.48062,2,
221,25,69.54023,47.27011,2,
222,21,69.33334,45.16666,2,
223,21,68.15643,44.57821,2,
224,21,68.26569,44.63284,2,
225,21,68.26569,44.63284,2,
226,21,68.26569,44.63284,2,
227,41,68.26569,54.63284,2,
228,41,68.26569,54.63284,2,
229,41,68.26569,54.63284,2,
230,36,68.26569,54.63284,2,
231,56,68.26569,62.13284,2,
232,56,68.26569,62.13284,2,
233,56,68.26569,62.13284,2,
234,56,68.06569,62.03284,2,
235,56,68.05054,62.02527,2,
236,56,67.92115,61.96058,2,
237,76,67.92115,71.96057,2,
238,76,67.92115,71.96057,2,
239,76,67.92115,71.96057,2,
240,76,67.92115,71.96057,2,
